domain_name;group
dt.adsafeprotected.com;dt.adsafeprotected.com
cdn.adsafeprotected.com;dt.adsafeprotected.com
e.visualdna.com;e.visualdna.com
ev.visualdna.com;e.visualdna.com
w.visualdna.com;e.visualdna.com
ecom.wix.com;ecom.wix.com
edge.quantserve.com;edge.quantserve.com
es.newsroom.fb.com;es.newsroom.fb.com
esi.gscontxt.net;esi.gscontxt.net
esimedia-d.openx.net;esimedia-d.openx.net
eur-ukp.adsrvr.org;eur-ukp.adsrvr.org
fast.fonts.net;fast.fonts.net
fbnewsroomus.wordpress.com;fbnewsroomus.wordpress.com
fo-api.omnitagjs.com;fo-api.omnitagjs.com
fo-ssp.omnitagjs.com;fo-ssp.omnitagjs.com
fo-static.omnitagjs.com;fo-static.omnitagjs.com
frog.wix.com;frog.wix.com
geo.moatads.com;geo.moatads.com
geo.yahoo.com;geo.yahoo.com
es.yahoo.com;geo.yahoo.com
gscounters.us1.gigya.com;gscounters.us.gigya.com
gum.criteo.com;gum.criteo.com
hammerjs.github.io;hammerjs.github.io
i.guim.co.uk;i.guim.co.uk
i.w55c.net;i.wc.net
pm.w55c.net;i.wc.net
impes.tradedoubler.com;impes.tradedoubler.com
interactive.guim.co.uk;interactive.guim.co.uk
j.ophan.co.uk;j.ophan.co.uk
js-agent.newrelic.com;js-agent.newrelic.com
js-sec.indexww.com;js-sec.indexww.com
keymaker.go.sonobi.com;keymaker.go.sonobi.com
l.sharethis.com;l.sharethis.com
load.s3.amazonaws.com;load.s.amazonaws.com
loadm.exelator.com;loadm.exelator.com
loadus.exelator.com;loadm.exelator.com
load.exelator.com;loadm.exelator.com
loadeu.exelator.com;loadm.exelator.com
loadr.exelator.com;loadm.exelator.com
loggerhead.omnitagjs.com;loggerhead.omnitagjs.com
mab.chartbeat.com;mab.chartbeat.com
mabping.chartbeat.net;mabping.chartbeat.net
match.adsrvr.org;match.adsrvr.org
match.rundsp.com;match.rundsp.com
match.sharethrough.com;match.sharethrough.com
media.guim.co.uk;media.guim.co.uk
membership.theguardian.com;membership.theguardian.com
ml314.com;ml.com
ew.com;ml.com
vk.com;ml.com
na.ads.yahoo.com;na.ads.yahoo.com
native.sharethrough.com;native.sharethrough.com
neural01.cdnwebcloud.com;neural.cdnwebcloud.com
news.search.yahoo.com;news.search.yahoo.com
