cat,signature
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.app.IUsageStats$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.appwidget.IAppWidgetService$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.os.IDropBoxManagerService$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.os.IResultReceiver$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.statusbar.IStatusBar$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.statusbar.IStatusBarService$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.textservice.ITextServicesManager$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.view.IInputMethod$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.view.IInputMethodManager$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.view.IInputMethodSession$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.view.menu.MenuBuilder.performIdentifierAction(int,int)
SENSITIVE_UNCATEGORIZED,boolean com.android.internal.widget.IRemoteViewsFactory$Stub.onTransact(int,Parcel,Parcel,int)
SENSITIVE_UNCATEGORIZED,boolean java.io.File.setLastModified(long)
SENSITIVE_UNCATEGORIZED,boolean java.lang.String.startsWith(String)
SENSITIVE_UNCATEGORIZED,boolean java.util.Collections$SetFromMap.add(Object)
SENSITIVE_UNCATEGORIZED,boolean java.util.TreeSet.add(Object)
SENSITIVE_UNCATEGORIZED,int java.io.Reader.read(CharBuffer)
SENSITIVE_UNCATEGORIZED,int java.util.jar.JarFile$JarFileInputStream.read(byte[],int,int)
SENSITIVE_UNCATEGORIZED,long java.nio.DatagramChannelImpl.read(ByteBuffer[],int,int)
SENSITIVE_UNCATEGORIZED,long java.nio.SocketChannelImpl.read(ByteBuffer[],int,int)
SENSITIVE_UNCATEGORIZED,void android.app.ActionBar.setHomeButtonEnabled(boolean)
SENSITIVE_UNCATEGORIZED,void android.app.ActionBar.setSplitBackgroundDrawable(Drawable)
SENSITIVE_UNCATEGORIZED,void android.app.ActionBar.setStackedBackgroundDrawable(Drawable)
SENSITIVE_UNCATEGORIZED,void android.app.Activity.setProgress(int)
SENSITIVE_UNCATEGORIZED,void android.app.Activity.setProgressBarIndeterminate(boolean)
SENSITIVE_UNCATEGORIZED,void android.app.Activity.setProgressBarIndeterminateVisibility(boolean)
SENSITIVE_UNCATEGORIZED,void android.app.Activity.setProgressBarVisibility(boolean)
SENSITIVE_UNCATEGORIZED,void android.app.Activity.setTitle(int)
SENSITIVE_UNCATEGORIZED,void android.app.Activity.setVolumeControlStream(int)
SENSITIVE_UNCATEGORIZED,void android.app.ActivityThread$H.handleMessage(Message)
SENSITIVE_UNCATEGORIZED,void android.app.AlertDialog.setButton(int,CharSequence,Message)
SENSITIVE_UNCATEGORIZED,void android.app.ApplicationPackageManager.setComponentEnabledSetting(ComponentName,int,int)
SENSITIVE_UNCATEGORIZED,void android.app.ApplicationPackageManager.setInstallerPackageName(String,String)
SENSITIVE_UNCATEGORIZED,void android.app.Dialog.onRestoreInstanceState(Bundle)
SENSITIVE_UNCATEGORIZED,void android.app.Dialog.setCanceledOnTouchOutside(boolean)
SENSITIVE_UNCATEGORIZED,void android.app.Dialog.setContentView(View)
